player_name,draft_class,g,gs,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg2_per_g,fg2a_per_g,fg2_pct,fg3_per_g,fg3a_per_g,fg3_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,sos,mp,fg_per_min,fga_per_min,fg2_per_min,fg2a_per_min,fg3_per_min,fg3a_per_min,ft_per_min,fta_per_min,trb_per_min,ast_per_min,stl_per_min,blk_per_min,tov_per_min,pf_per_min,pts_per_min,fg_per_poss,fga_per_poss,fg2_per_poss,fg2a_per_poss,fg3_per_poss,fg3a_per_poss,ft_per_poss,fta_per_poss,trb_per_poss,ast_per_poss,stl_per_poss,blk_per_poss,tov_per_poss,pf_per_poss,pts_per_poss,off_rtg,def_rtg,per,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,pprod,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ows,dws,ws,ws_per_40,obpm,dbpm,bpm
Moussa Diabate,2022,32.0,26.0,24.9,3.7,6.8,0.542,3.6,6.3,0.564,0.1,0.4,0.214,1.6,2.6,0.619,2.4,3.6,6.0,0.8,0.3,0.9,1.5,2.7,9.0,11.02,796.0,5.9,10.9,5.7,10.2,0.2,0.7,2.6,4.2,9.6,1.3,0.6,1.4,2.4,4.3,14.5,8.7,16.1,8.5,15.0,0.2,1.0,3.9,6.3,14.2,1.9,0.8,2.1,3.5,6.4,21.5,110.9,104.1,17.6,0.565,0.549,0.065,0.389,290.0,11.9,17.0,14.5,6.2,0.8,3.7,15.5,19.7,1.6,0.9,2.5,0.124,1.6,1.1,2.8
Kevin McCullar,2022,29.0,24.0,29.9,3.4,8.6,0.402,2.5,5.5,0.453,1.0,3.1,0.311,2.3,3.1,0.725,0.9,3.7,4.6,3.1,1.4,0.2,2.0,2.7,10.1,8.65,868.0,4.6,11.5,3.3,7.3,1.3,4.1,3.0,4.2,6.1,4.1,1.9,0.3,2.6,3.6,13.5,6.8,17.0,4.9,10.9,1.9,6.2,4.5,6.2,9.1,6.1,2.8,0.5,3.9,5.3,20.1,104.5,90.1,15.0,0.503,0.458,0.361,0.365,310.0,3.8,14.3,9.3,19.2,2.8,1.1,16.3,20.8,1.2,2.1,3.4,0.156,1.3,4.5,5.8
Hyunjung Lee,2022,34.0,33.0,32.1,5.4,11.3,0.474,3.0,5.1,0.586,2.4,6.2,0.381,2.8,3.6,0.777,0.8,5.2,6.0,1.9,0.7,0.3,1.5,2.1,15.8,1.92,1091.0,6.7,14.1,3.7,6.4,2.9,7.7,3.4,4.4,7.4,2.3,0.9,0.3,1.9,2.6,19.7,10.1,21.3,5.7,9.7,4.4,11.7,5.2,6.7,11.3,3.6,1.3,0.5,2.9,3.9,29.8,118.2,100.4,21.8,0.609,0.578,0.547,0.315,489.0,3.1,19.0,11.4,11.8,1.3,1.1,10.5,24.7,3.4,1.6,5.0,0.185,5.2,0.0,5.3
Caleb Houstan,2022,34.0,34.0,32.0,3.2,8.4,0.384,1.4,3.4,0.426,1.8,5.0,0.355,1.9,2.4,0.783,0.8,3.2,4.0,1.4,0.7,0.2,1.5,1.7,10.1,11.02,1088.0,4.0,10.4,1.8,4.2,2.2,6.2,2.4,3.1,5.0,1.7,0.9,0.3,1.9,2.1,12.6,5.9,15.5,2.7,6.3,3.3,9.2,3.5,4.5,7.4,2.5,1.4,0.4,2.8,3.1,18.7,105.4,106.8,11.8,0.53,0.489,0.595,0.292,321.0,3.1,11.7,7.5,7.4,1.4,0.8,13.9,17.9,1.4,0.9,2.3,0.084,1.9,1.2,3.1
Jordan Hall,2022,30.0,29.0,34.9,5.2,13.3,0.393,3.0,7.1,0.42,2.3,6.3,0.362,1.4,1.9,0.737,1.0,5.7,6.7,5.8,1.2,0.2,3.5,2.5,14.1,2.46,1048.0,6.0,15.3,3.4,8.1,2.6,7.2,1.6,2.2,7.6,6.6,1.4,0.2,4.0,2.9,16.2,8.8,22.3,5.0,11.8,3.8,10.5,2.3,3.2,11.1,9.7,2.1,0.3,5.9,4.2,23.6,98.4,99.7,16.2,0.496,0.478,0.47,0.143,471.0,3.1,17.9,10.6,35.5,2.1,0.5,19.7,25.9,1.1,1.6,2.7,0.105,1.8,1.3,3.0
Julian Champagnie,2022,31.0,31.0,34.2,7.1,17.2,0.414,5.0,11.0,0.457,2.1,6.2,0.337,2.9,3.7,0.781,1.4,5.3,6.6,2.0,2.0,1.1,1.5,1.5,19.2,6.51,1060.0,8.3,20.2,5.9,12.9,2.5,7.3,3.4,4.3,7.8,2.4,2.3,1.3,1.7,1.8,22.5,11.2,27.2,7.9,17.3,3.3,9.8,4.5,5.8,10.5,3.2,3.1,1.8,2.3,2.4,30.3,107.1,97.5,21.6,0.507,0.475,0.361,0.213,530.0,4.1,16.5,10.2,11.0,3.1,3.5,7.3,27.7,2.2,1.9,4.1,0.153,4.5,1.6,6.2
Keon Ellis,2022,33.0,33.0,30.9,3.7,8.4,0.439,1.7,2.9,0.579,2.0,5.5,0.366,2.7,3.1,0.881,1.9,4.2,6.1,1.8,1.9,0.6,1.6,2.7,12.1,11.59,1021.0,4.8,10.9,2.2,3.7,2.6,7.2,3.5,4.0,7.9,2.3,2.5,0.7,2.0,3.4,15.7,6.5,14.9,2.9,5.1,3.6,9.8,4.8,5.4,10.8,3.2,3.4,1.0,2.8,4.7,21.4,125.1,102.1,19.9,0.614,0.559,0.658,0.363,386.0,6.4,14.5,10.5,10.2,3.4,1.9,13.8,17.1,2.9,1.3,4.2,0.165,5.7,3.8,9.5
Alondes Williams,2022,35.0,35.0,34.1,6.9,13.6,0.507,5.8,9.6,0.603,1.1,4.1,0.282,3.6,5.2,0.691,1.4,5.0,6.4,5.2,1.2,0.4,3.6,2.1,18.5,4.75,1194.0,8.1,16.0,6.8,11.2,1.3,4.8,4.2,6.1,7.5,6.1,1.4,0.5,4.3,2.4,21.7,11.4,22.4,9.5,15.8,1.9,6.7,5.9,8.5,10.5,8.5,2.0,0.7,6.0,3.4,30.5,110.6,98.2,23.1,0.576,0.549,0.298,0.379,688.0,5.1,15.7,10.8,31.2,2.0,1.2,18.4,28.9,3.5,2.0,5.5,0.185,4.7,1.8,6.6
Isaiah Mobley,2022,32.0,32.0,34.1,5.0,11.3,0.445,3.7,7.5,0.492,1.3,3.8,0.352,2.8,4.0,0.682,2.2,6.1,8.3,3.3,0.8,0.9,1.9,2.0,14.2,6.09,1090.0,5.9,13.3,4.3,8.8,1.6,4.5,3.2,4.7,9.8,3.9,0.9,1.1,2.2,2.3,16.6,8.8,19.7,6.4,13.0,2.3,6.6,4.8,7.0,14.5,5.8,1.3,1.6,3.3,3.5,24.6,114.5,96.8,21.1,0.535,0.504,0.337,0.356,467.0,7.5,18.7,13.4,18.8,1.3,2.7,12.4,22.4,2.9,2.0,4.9,0.178,5.2,2.7,7.9
Julian Strawther,2022,32.0,31.0,26.8,4.2,8.5,0.498,2.5,3.8,0.659,1.7,4.6,0.365,1.7,2.4,0.705,1.3,4.1,5.4,1.0,0.5,0.2,0.8,2.0,11.8,4.5,856.0,6.3,12.7,3.8,5.7,2.5,6.9,2.6,3.6,8.0,1.5,0.8,0.3,1.2,3.0,17.7,8.5,17.2,5.1,7.8,3.4,9.4,3.5,4.9,10.9,2.0,1.1,0.4,1.6,4.1,24.0,126.1,93.9,18.7,0.615,0.598,0.546,0.288,344.0,5.8,14.5,10.7,5.7,1.1,0.6,7.8,18.7,2.6,1.8,4.4,0.205,5.0,1.9,6.8
David Roddy,2022,31.0,31.0,32.9,7.2,12.5,0.571,5.7,9.2,0.62,1.5,3.4,0.438,3.4,4.9,0.691,1.8,5.7,7.5,2.9,1.2,1.1,2.3,2.3,19.2,4.77,1021.0,8.7,15.2,6.9,11.1,1.8,4.1,4.1,6.0,9.2,3.5,1.4,1.3,2.8,2.8,23.3,13.2,23.1,10.5,16.9,2.7,6.2,6.2,9.0,13.9,5.3,2.1,2.0,4.3,4.2,35.3,121.9,97.0,30.3,0.645,0.63,0.27,0.391,574.0,7.4,21.0,14.5,19.8,2.1,4.1,13.5,28.8,4.4,1.8,6.3,0.246,8.7,2.3,11.1
Trevion Williams,2022,37.0,4.0,20.1,4.9,9.0,0.547,4.8,8.6,0.555,0.1,0.4,0.357,2.0,3.4,0.597,2.3,5.2,7.4,3.0,0.9,0.6,2.1,2.1,12.0,8.23,744.0,9.8,17.9,9.5,17.2,0.3,0.8,4.0,6.7,14.8,6.0,1.9,1.2,4.2,4.2,23.8,14.7,26.9,14.3,25.7,0.4,1.1,6.0,10.0,22.2,9.0,2.8,1.9,6.4,6.3,35.7,114.9,93.8,31.9,0.565,0.554,0.042,0.372,473.0,14.4,28.7,22.0,34.1,2.8,3.5,16.8,32.5,3.0,1.6,4.6,0.245,7.4,4.4,11.9
